root_id,cell_type,n_embeddings,n_skeleton_nodes,nearest_median_nm,nearest_p95_nm,nearest_p99_nm,nearest_max_nm,fraction_within_100nm,fraction_within_500nm,fraction_within_1000nm,fraction_finite_radius,embedding_center_x,skeleton_center_x,embedding_center_y,skeleton_center_y,embedding_center_z,skeleton_center_z
864691135801376610,L6CT,2336,25950,69.63805617678037,239.64865173918693,928.9094038869757,4405.070885673975,0.6793664383561644,0.983304794520548,0.9914383561643836,1.0,688264.0,683713.96875,887928.0,875661.46875,912720.0,915565.53125
864691135801604706,L3IT,8334,121872,56.14488442076059,196.3338208124586,1025.0123780070865,2827.7389294496406,0.8041756659467243,0.9823614110871131,0.9894408447324214,1.0,1322840.0,1323081.625,644112.0,654891.65625,856280.0,866908.84375
864691135809384221,L6CT,2132,23116,71.50183004737102,253.31068252529127,985.0015923683092,4917.685069757162,0.6744840525328331,0.9788930581613509,0.9906191369606003,1.0,710268.0,719707.15625,945692.0,932920.09375,942140.0,941320.90625
864691135809456669,L6IT,6031,74125,64.56734008963045,227.7547214799632,957.2296798024372,3910.4146704066115,0.7189520809152711,0.9809318520974962,0.9908804510031504,1.0,734088.0,734681.625,906504.0,897673.5,892480.0,889261.125
864691135810531357,ITCperi,3234,41885,65.47840733170608,229.13099017572986,998.5412063619818,5740.32277443416,0.7189239332096475,0.9783549783549783,0.9901051329622759,1.0,657984.0,661197.6875,519964.0,526198.5625,817960.0,819965.3125
864691135810803660,L6CT,1614,17256,74.40653932162148,238.27145049378018,804.500431924264,4670.4293039090635,0.661090458488228,0.9845105328376704,0.993184634448575,1.0,777464.0,788890.34375,943180.0,907675.78125,878640.0,861749.625
864691135838738579,L6CT,2701,28954,71.73459111544443,271.9574372144472,1150.8410918758507,5454.3133167991455,0.6527212143650499,0.9803776379118845,0.9870418363569049,1.0,705632.0,705964.5625,911192.0,901553.34375,950280.0,947306.03125
864691135843236323,L5IT,9148,132215,55.83148119732213,199.48984441202325,844.9116071834281,5578.689986793494,0.8011587232181898,0.9834936598163533,0.9928946217752515,1.0,674232.0,678211.875,671092.0,655685.875,868480.0,866609.3125
864691135850033758,L2IT,4715,62676,58.9710601693746,201.64745398488813,960.6162497286108,3293.4948175579766,0.7717921527041357,0.9821845174973489,0.9906680805938494,1.0,699344.0,700942.84375,576392.0,601130.75,868680.0,871589.59375
864691135852558279,L6CT,3945,50023,63.097487816473325,249.470914240722,878.3788089809749,5395.854894181505,0.7186311787072244,0.979467680608365,0.9923954372623575,1.0,747160.0,751800.75,950904.0,953685.8125,950640.0,943281.1875
864691135853090503,PV,15255,164588,79.25704818815801,250.1408070180557,510.32691307735513,4725.955355219858,0.6189446083251393,0.9891838741396264,0.997115699770567,1.0,790024.0,793152.4375,566752.0,563721.25,897720.0,896876.21875
